,igid,BFS,CCL,FGAUSSIAN,FHOTSPOT,FLAVA,FLUD,FMXM,MERGESORT,NW,QUICKSORT
SDC,CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009333333333333334,0.0
SDC,FADD_FMUL_OP,0.0,0.0,0.0,0.0587,0.0,0.07827272727272727,0.0,0.0,0.0,0.0
SDC,FFMA_OP,0.0,0.0,0.10888888888888887,0.0169,0.0788,0.07945454545454546,0.0972,0.0,0.0,0.0
SDC,GPR,0.01475,0.000125,0.037333333333333336,0.0283,0.0658,0.06963636363636364,0.084,0.011222222222222222,0.030444444444444444,0.031444444444444435
SDC,IADD_IMUL_OP,0.012625,0.00025,0.022000000000000002,0.0198,0.0214,0.04727272727272727,0.0717,0.008888888888888889,0.017444444444444443,0.03266666666666666
SDC,LDS_OP,0.0,0.0,0.0,0.0795,0.0694,0.07690909090909091,0.0827,0.02433333333333333,0.04544444444444445,0.03211111111111111
SDC,LD_OP,0.05175,0.000125,0.094,0.0541,0.0807,0.08381818181818182,0.0946,0.07333333333333332,0.07922222222222222,0.05288888888888889
SDC,MAD_OP,0.021,0.0,0.049888888888888885,0.0462,0.0391,0.039454545454545464,0.037000000000000005,0.05166666666666666,0.030444444444444444,0.03233333333333333
SDC,PR,0.049125,0.057625,0.041777777777777775,0.0605,0.067,0.06518181818181819,0.1,0.01277777777777778,0.04566666666666667,0.06544444444444444
SDC,SET_OP,0.04425,0.05675,0.039444444444444435,0.0632,0.0678,0.06636363636363636,0.1,0.010666666666666666,0.04155555555555555,0.06355555555555556
SDC,STORE_OP,0.02075,0.082125,0.11055555555555556,0.0693,0.0958,0.06681818181818182,0.0965,0.07544444444444444,0.084,0.10511111111111113
DUE,CC,0.028,0.0325,0.02633333333333333,0.0,0.0182,0.02136363636363636,0.0245,0.0001111111111111111,0.013777777777777778,0.016
DUE,FADD_FMUL_OP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUE,FFMA_OP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUE,GPR,0.041375,0.038,0.023777777777777776,0.019799999999999998,0.0015,0.01090909090909091,0.003,0.0051111111111111105,0.02711111111111111,0.02633333333333333
DUE,IADD_IMUL_OP,0.047,0.02,0.020888888888888887,0.0295,0.0721,0.03627272727272728,0.0268,0.004,0.03744444444444445,0.028555555555555563
DUE,LDS_OP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010444444444444444,0.0,0.0
DUE,LD_OP,0.00375,0.0,0.0,0.0,0.0073,0.0,0.0,0.021,0.0002222222222222222,0.0
DUE,MAD_OP,0.066,0.0785,0.03688888888888889,0.0456,0.0609,0.05136363636363636,0.063,0.012666666666666666,0.05,0.06488888888888887
DUE,PR,0.0,0.0,0.0001111111111111111,0.0002,0.0003,0.0006363636363636363,0.0,0.010333333333333332,0.017777777777777778,0.0002222222222222222
DUE,SET_OP,0.0,0.0,0.0,0.0002,0.0006,0.0006363636363636363,0.0,0.006999999999999999,0.019222222222222224,0.0002222222222222222
DUE,STORE_OP,0.0,0.0155,0.0,0.0,0.0,0.0,0.0,0.017111111111111108,0.0,0.0013333333333333333
