metric,FLAVA,FMXM,QUICKSORT,MERGESORT,FHOTSPOT,FFASTER-R-CNN,FYOLOV2,FYOLOV3,FGEMM,FGAUSSIAN,BFS,FLUD,CCL,NW,FRESNET,FFMA,FADD,FMUL,LDST,IMUL,IADD,IMAD
flop_count_dp_fma,0.0,0.0,0.0,0.0,0.0,0.0,3610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flop_count_dp_mul,0.0,0.0,0.0,0.0,0.0,0.0,11829248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flop_count_dp_add,0.0,0.0,0.0,0.0,0.0,0.0,722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flop_count_sp_add,77613626688.0,0.0,0.0,0.0,11898880.0,926797434.0,59870767.0,60081952.0,0.0,1023.0,0.0,66847216.0,0.0,0.0,2653133.0,0.0,38393610240.0,0.0,0.0,0.0,0.0,0.0
flop_count_sp_mul,88700953920.0,0.0,0.0,0.0,0.0,341804903.0,64103590.0,81412096.0,16777216.0,0.0,0.0,0.0,0.0,0.0,3870576.0,0.0,0.0,38393610240.0,0.0,0.0,0.0,0.0
flop_count_sp_fma,88698617856.0,68736253952.0,0.0,0.0,22418432.0,36721437637.0,8010741759.0,5792922064.0,68719738880.0,1055736.0,0.0,2140675648.0,0.0,0.0,398221726.0,38400000000.0,0.0,0.0,0.0,0.0,0.0,0.0
flop_count_sp_special,22174654464.0,0.0,0.0,0.0,5607424.0,129539979.0,63333840.0,106203312.0,0.0,1023.0,0.0,261616.0,8085504.0,0.0,1721805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flop_count_hp_add,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flop_count_hp_mul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flop_count_hp_fma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
