metric,HYOLOV3,FYOLOV3,DYOLOV3,HGEMM,FGEMM,DGEMM,HGEMM-WMMA,FGEMM-WMMA,HLAVA,FLAVA,DLAVA,HMXM,FMXM,DMXM,HHOTSPOT,FHOTSPOT,DHOTSPOT,HADD,FADD,DADD,HFMA,FFMA,DFMA,HMUL,FMUL,DMUL,IMUL,IADD,IMAD
flop_count_dp_fma,0.0,0.0,73612517888.0,0.0,0.0,4398046511104.0,0.0,0.0,0.0,0.0,82066489344.0,274911461376.0,0.0,549755813888.0,0.0,0.0,41943040000.0,0.0,0.0,0.0,0.0,0.0,20480000000000.0,0.0,0.0,0.0,0.0,0.0,0.0
flop_count_dp_mul,0.0,0.0,478967808.0,0.0,0.0,268435456.0,0.0,0.0,0.0,0.0,14655378240.0,33554432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20480000000000.0,0.0,0.0,0.0
flop_count_dp_add,0.0,0.0,247852131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23448216384.0,0.0,0.0,0.0,0.0,0.0,62914560000.0,0.0,0.0,20480000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flop_count_sp_add,415573453.0,429114829.0,85748330.0,0.0,805306368.0,0.0,0.0,0.0,0.0,20517270336.0,0.0,0.0,0.0,0.0,56074240000.0,118988800000.0,56074240000.0,0.0,20479989514240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flop_count_sp_mul,362719082.0,576702314.0,167721322.0,0.0,1073741824.0,0.0,0.0,268435456.0,2930946048.0,23448216384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20479989514240.0,0.0,0.0,0.0,0.0
flop_count_sp_fma,779356041.0,74865084297.0,255357321.0,0.0,4398046511104.0,0.0,0.0,0.0,0.0,46895136768.0,0.0,0.0,549755813888.0,0.0,182241280000.0,224184320000.0,182241280000.0,0.0,0.0,0.0,0.0,20480000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flop_count_hp_add,83906147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17585676288.0,0.0,0.0,0.0,0.0,0.0,31457280000.0,0.0,0.0,10240000020480.0,0.0,0.0,40960.0,0.0,0.0,20480.0,0.0,0.0,0.0,0.0,0.0
flop_count_hp_mul,101187584.0,0.0,0.0,134217728.0,0.0,0.0,134217728.0,0.0,11725080192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10240000000000.0,0.0,0.0,0.0,0.0,0.0
flop_count_hp_fma,37415026688.0,0.0,0.0,2199023255552.0,0.0,0.0,0.0,0.0,55687974912.0,0.0,0.0,274877906944.0,0.0,0.0,62914560000.0,0.0,0.0,0.0,0.0,0.0,10240000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inst_compute_ld_st,9319236240.0,18136006010.0,23224032819.0,241128439808.0,620639551488.0,756723744768.0,51994689536.0,65030586368.0,88176739008.0,79289716800.0,82251841536.0,1649368104960.0,3298736209920.0,3298736209920.0,224855360000.0,224855360000.0,224855360000.0,61440.0,61440.0,61440.0,61440.0,61440.0,61440.0,61440.0,61440.0,61440.0,102400.0,81920.0,81920.0
inst_control,2960425842.0,3108180722.0,2723223440.0,4359979008.0,9110028288.0,8719958016.0,1115684864.0,1115684864.0,3166406208.0,3230059584.0,12022897728.0,1924145348608.0,3436040945664.0,3436040945664.0,240200520000.0,240200520000.0,240200520000.0,4999987200.0,9999994880.0,9999994880.0,4999987200.0,9999994880.0,9999994880.0,4999987200.0,9999994880.0,9999994880.0,402595840.0,402616320.0,402616320.0
inst_integer,28436210997.0,29657730077.0,27464144947.0,117054636032.0,203910283264.0,164769038336.0,20078133248.0,22336765952.0,13137554496.0,13070947776.0,30734246784.0,4123906801664.0,7148973064192.0,7423582535680.0,1227680920000.0,1241040360000.0,1268418360000.0,10000056320.0,20000071680.0,20000071680.0,10000056320.0,20000071680.0,20000133120.0,10000056320.0,20000071680.0,20000071680.0,820005519360.0,410405621760.0,820405534720.0
inst_inter_thread_communication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inst_misc,6866210646.0,7035183254.0,7360719815.0,8795455488.0,19277021184.0,17574133760.0,2327838720.0,2451570688.0,3056308800.0,5971989504.0,126010752.0,268435456.0,268435456.0,962609545216.0,182241280000.0,182241280000.0,182241280000.0,102400.0,122880.0,143360.0,122880.0,143360.0,184320.0,102400.0,122880.0,143360.0,402780160.0,40960.0,143360.0
inst_bit_convert,1460090884.0,1033219905.0,1200941227.0,0.0,0.0,0.0,0.0,68853694464.0,2930946048.0,2930946048.0,0.0,549923586048.0,0.0,0.0,56074240000.0,0.0,56074240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atomic_transactions,0.0,0.0,27648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tensor_count,0.0,0.0,0.0,0.0,0.0,0.0,274877906944.0,549755813888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alu_fu_utilization,215807.39968044078,5.481177070063695,4.069813366960908,13744747315.2,19.578,19.94,851985.458,8.120000000000001,568272680.798,0.748,0.73,6871947685.979999,4.732,10.362,112754.81897200001,5.592707,4.2254002,64000000128.0,19.834,19.926,64000000256.0,19.828,19.928,64000000128.0,19.834,19.926,9.964,0.0,19.844
achieved_occupancy,69.44389348025712,69.89402547770702,70.05602774274905,24.96,12.5,12.5,12.5,12.5,9.37,9.37,9.37,99.96,99.99,99.99,93.18006279999999,94.69842190000001,95.14190989999999,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
ldst_fu_utilization,2.862984389348026,3.391541401273885,1.8177931904161413,5.55,7.01,4.34,4.22,1.64,2.34,1.09,0.59,12.74,13.44,10.98,6.038998,4.266782,2.2597329999999993,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.05,0.02
