,RF,SHARED
HYOLOV3,54.917994824851384,22035.824241939223
FYOLOV3,38.962663391712944,34992.82262281077
DYOLOV3,126.99517536150096,54628.693033339194
HGEMM,127.0,65536.0
FGEMM,134.0,65536.0
DGEMM,234.0,65536.0
HGEMM-TENSOR,139.0,65536.0
FGEMM-TENSOR,250.0,98304.0
HLAVA,255.0,8192.0
FLAVA,255.0,8192.0
DLAVA,254.0,16384.0
HMXM,27.0,0.0
FMXM,25.0,0.0
DMXM,29.0,0.0
HHOTSPOT,26.0,16384.0
FHOTSPOT,27.0,32768.0
DHOTSPOT,30.0,65536.0
HADD,16.0,0.0
FADD,16.0,0.0
DADD,16.0,0.0
HFMA,16.0,0.0
FFMA,16.0,0.0
DFMA,16.0,0.0
HMUL,16.0,0.0
FMUL,16.0,0.0
DMUL,16.0,0.0
IMUL,16.0,0.0
IADD,16.0,0.0
IMAD,16.0,0.0
